player,sort_order,time,n_shots,event_type2,side,shot_place,shot_outcome,trueGoals,location,bodypart,assist_method,situation,fast_break,year,expectedGoals,difference,ratio,xG_per_shot_ratio
Charlie Davies,92,89,1,12.0,2,6.0,2.0,0,3.0,1.0,1,1.0,0,2012,0.18,0.18,0.0,0.18
Charlison Benschop,2504,2402,43,468.0,68,238.0,76.0,6,431.0,59.0,61,47.0,0,86557,3.89,-2.11,1.5424164524421593,0.09046511627906977
Charly Musonda,1272,1073,20,204.0,24,101.0,38.0,1,238.0,28.0,18,22.0,0,40320,1.1,0.1,0.9090909090909091,0.05500000000000001
Chechu Dorado,817,707,16,150.0,25,81.0,28.0,3,133.0,35.0,18,31.0,0,32197,3.45,0.45,0.8695652173913043,0.215625
Cheick Diabataa©,124,83,1,0.0,2,7.0,4.0,0,14.0,1.0,0,2.0,0,2011,0.77,0.77,0.0,0.77
Cheick Diabate,11974,11517,228,2292.0,339,1232.0,405.0,47,1678.0,431.0,311,282.0,2,459060,34.59,-12.41,1.3587742122000577,0.1517105263157895
Cheick Diarra,1293,1223,27,240.0,34,150.0,52.0,1,253.0,41.0,27,30.0,1,54343,2.45,1.45,0.4081632653061224,0.09074074074074075
Cheick Doukoure,1924,1856,35,279.0,54,158.0,79.0,2,457.0,43.0,27,41.0,1,70517,3.0,1.0,0.6666666666666666,0.08571428571428572
Cheick Tiote,2249,2378,51,324.0,67,311.0,107.0,0,753.0,56.0,27,61.0,1,102704,1.67,1.67,0.0,0.032745098039215687
Cheikh Mbengue,1436,1432,31,240.0,43,180.0,67.0,1,365.0,59.0,35,40.0,0,62418,1.67,0.67,0.5988023952095809,0.053870967741935484
Cheikh Ndoye,4433,4635,103,1044.0,159,608.0,205.0,11,742.0,221.0,141,134.0,0,207606,10.19,-0.81,1.0794896957801767,0.09893203883495146
Cheikhou Kouyate,3837,4037,83,792.0,121,500.0,160.0,9,760.0,140.0,102,107.0,3,167262,10.21,1.21,0.8814887365328109,0.12301204819277109
Chicharito,1625,1516,27,300.0,40,159.0,48.0,5,183.0,47.0,43,31.0,2,54436,5.97,0.97,0.8375209380234506,0.2211111111111111
Chico,1308,1456,26,291.0,34,129.0,50.0,5,188.0,58.0,42,47.0,0,52336,4.19,-0.81,1.1933174224343674,0.16115384615384618
Chico Flores,74,67,1,12.0,2,10.0,2.0,0,11.0,1.0,1,1.0,0,2012,0.06,0.06,0.0,0.06
Chinedu Ede,319,293,6,60.0,10,21.0,12.0,1,36.0,9.0,7,6.0,0,12078,0.76,-0.24,1.3157894736842106,0.12666666666666668
Chinedu Obasi,2921,2532,50,408.0,71,301.0,90.0,4,509.0,76.0,41,58.0,1,100613,3.58,-0.42,1.1173184357541899,0.0716
Chong Tese,329,282,4,48.0,6,26.0,6.0,0,57.0,5.0,4,4.0,0,8048,0.13,0.13,0.0,0.0325
Chris,333,273,6,72.0,10,46.0,9.0,1,56.0,12.0,10,8.0,0,12071,0.33,-0.67,3.0303030303030303,0.055
Chris Baird,235,258,4,48.0,7,23.0,6.0,0,48.0,5.0,4,4.0,0,8059,0.26,0.26,0.0,0.065
Chris Brunt,4627,5089,113,744.0,166,718.0,229.0,8,1379.0,218.0,83,165.0,1,227633,6.47,-1.53,1.2364760432766615,0.05725663716814159
Chris David,237,228,3,24.0,3,27.0,4.0,1,41.0,6.0,2,3.0,0,6042,0.1,-0.9,10.0,0.03333333333333333
Chris Gadi,101,90,1,12.0,2,5.0,1.0,0,15.0,1.0,1,1.0,0,2012,0.03,0.03,0.0,0.03
Chris Lowe,205,218,6,48.0,11,47.0,11.0,0,78.0,13.0,4,6.0,0,12068,0.18,0.18,0.0,0.03
Chris Mavinga,992,938,18,186.0,28,97.0,34.0,2,189.0,37.0,16,25.0,0,36265,3.13,1.13,0.6389776357827476,0.17388888888888887
Chris Philipps,194,177,4,48.0,7,19.0,7.0,0,60.0,4.0,4,4.0,0,8064,0.11,0.11,0.0,0.0275
Chris Smalling,2213,2414,50,507.0,72,279.0,101.0,7,333.0,112.0,85,90.0,0,100738,8.06,1.06,0.8684863523573201,0.1612
Chris Wood,399,419,5,48.0,8,35.0,9.0,1,45.0,6.0,7,5.0,0,10070,0.37,-0.63,2.7027027027027026,0.074
Christian,16,11,1,12.0,2,13.0,1.0,1,3.0,3.0,1,2.0,0,2012,0.2,-0.8,5.0,0.2
Christian Abbiati,77,73,1,15.0,1,0.0,0.0,1,19.0,1.0,0,1.0,0,2014,0.99,-0.01,1.0101010101010102,0.99
Christian Atsu,601,669,11,132.0,15,62.0,18.0,1,127.0,19.0,15,11.0,0,22171,0.77,-0.23,1.2987012987012987,0.07
Christian Battocchio,7,8,1,0.0,2,2.0,3.0,0,15.0,1.0,0,1.0,0,2012,0.03,0.03,0.0,0.03
Christian Benteke,11697,12229,243,2436.0,356,1512.0,457.0,36,1700.0,458.0,343,332.0,3,489615,37.31,1.31,0.9648887697668185,0.15353909465020577
Christian Bravo,90,84,1,12.0,2,2.0,3.0,0,15.0,1.0,1,1.0,0,2014,0.03,0.03,0.0,0.03
Christian Brocchi,626,584,12,84.0,13,67.0,27.0,0,144.0,15.0,10,14.0,1,24137,1.25,1.25,0.0,0.10416666666666667
Christian Bruls,1842,1894,45,336.0,63,269.0,96.0,1,494.0,62.0,32,62.0,0,90606,2.97,1.97,0.33670033670033667,0.066
Christian Clemens,5683,4951,93,828.0,139,583.0,177.0,11,979.0,115.0,87,121.0,5,187328,8.64,-2.36,1.2731481481481481,0.09290322580645162
Christian Eichner,268,219,7,36.0,9,47.0,14.0,0,98.0,12.0,3,11.0,0,14080,0.19,0.19,0.0,0.027142857142857142
Christian Eigler,1227,1025,23,228.0,40,131.0,45.0,1,218.0,40.0,36,28.0,2,46258,2.27,1.27,0.44052863436123346,0.09869565217391305
Christian Eriksen,15290,15403,320,2292.0,466,1707.0,648.0,28,4026.0,403.0,212,434.0,0,644842,24.16,-3.84,1.1589403973509933,0.0755
Christian Fernandez,546,494,9,108.0,15,61.0,15.0,0,37.0,27.0,17,17.0,0,18107,1.39,1.39,0.0,0.15444444444444444
Christian Fuchs,4827,4729,95,468.0,139,484.0,192.0,5,1241.0,176.0,53,134.0,0,191307,6.0,1.0,0.8333333333333334,0.06315789473684211
Christian Gentner,9965,8906,197,1755.0,297,1082.0,380.0,23,1819.0,314.0,226,254.0,4,396678,21.27,-1.73,1.0813352139163142,0.10796954314720812
Christian Gunter,1973,1865,39,303.0,63,177.0,92.0,1,548.0,70.0,27,46.0,1,78560,2.4,1.4,0.4166666666666667,0.061538461538461535
Christian Kabasele,331,328,7,84.0,11,52.0,13.0,2,55.0,16.0,14,13.0,0,14117,1.21,-0.79,1.6528925619834711,0.17285714285714285
Christian Kinkela,1537,1265,20,168.0,27,118.0,40.0,3,228.0,21.0,19,27.0,0,40230,3.03,0.03,0.9900990099009902,0.1515
Christian Kouakou,338,343,4,36.0,4,23.0,6.0,1,47.0,4.0,4,6.0,0,8064,0.95,-0.05,1.0526315789473684,0.2375
Christian Lell,897,847,18,156.0,27,105.0,40.0,3,196.0,20.0,16,21.0,0,36214,1.41,-1.59,2.127659574468085,0.07833333333333332
Christian Maggio,4087,3879,71,648.0,105,454.0,136.0,6,660.0,129.0,104,100.0,1,142906,8.93,2.93,0.671892497200448,0.12577464788732393
Christian Obodo,779,661,13,108.0,17,86.0,24.0,0,155.0,15.0,9,15.0,0,26149,0.82,0.82,0.0,0.06307692307692307
Christian Pander,3326,2907,51,204.0,72,307.0,106.0,2,678.0,102.0,20,94.0,3,102616,1.94,-0.06,1.0309278350515465,0.03803921568627451
Christian Poulsen,249,266,10,120.0,16,70.0,19.0,0,77.0,24.0,19,16.0,0,20114,0.66,0.66,0.0,0.066
Christian Puggioni,4,2,1,15.0,1,0.0,0.0,1,19.0,1.0,0,1.0,0,2013,0.99,-0.01,1.0101010101010102,0.99
Christian Pulisic,1791,1487,25,228.0,36,154.0,44.0,4,200.0,42.0,23,28.0,0,50403,2.8,-1.2,1.4285714285714286,0.11199999999999999
Christian Santos,638,576,9,96.0,13,64.0,16.0,1,74.0,20.0,11,15.0,0,18144,1.54,0.54,0.6493506493506493,0.1711111111111111
Christian Schulz,3058,2745,59,471.0,80,335.0,106.0,7,540.0,138.0,63,91.0,0,118791,9.69,2.69,0.7223942208462333,0.1642372881355932
Christian Strohdiek,373,291,6,60.0,9,47.0,10.0,0,30.0,16.0,9,9.0,0,12085,0.53,0.53,0.0,0.08833333333333333
Christian Stuani,9820,9005,184,1947.0,257,1082.0,331.0,34,1273.0,354.0,276,234.0,5,370432,32.14,-1.86,1.057871810827629,0.17467391304347826
Christian Terlizzi,334,330,6,48.0,9,31.0,13.0,2,56.0,13.0,9,13.0,0,12074,1.99,-0.01,1.0050251256281406,0.33166666666666667
Christian Tiffert,1929,1646,37,228.0,49,218.0,75.0,2,454.0,46.0,21,47.0,1,74421,3.67,1.67,0.5449591280653951,0.09918918918918919
Christian Trasch,2309,2086,51,492.0,71,310.0,112.0,0,678.0,65.0,52,52.0,1,102658,2.09,2.09,0.0,0.04098039215686274
Christian Wetklo,25,22,1,15.0,1,0.0,0.0,1,19.0,1.0,0,1.0,0,2013,0.99,-0.01,1.0101010101010102,0.99
Christian Zapata,436,406,11,96.0,15,82.0,23.0,0,73.0,29.0,16,22.0,0,22127,1.5,1.5,0.0,0.13636363636363635
Christoph Hemlein,87,70,1,12.0,2,2.0,3.0,0,3.0,1.0,2,1.0,0,2011,0.13,0.13,0.0,0.13
Christoph Janker,204,180,4,51.0,8,6.0,9.0,1,50.0,4.0,4,4.0,0,8047,1.15,0.15,0.8695652173913044,0.2875
Christoph Kramer,1896,1892,35,351.0,49,168.0,69.0,5,345.0,47.0,37,38.0,1,70510,4.49,-0.51,1.1135857461024499,0.12828571428571428
Christoph Metzelder,256,211,5,60.0,6,41.0,8.0,1,15.0,13.0,11,11.0,0,10059,0.57,-0.43,1.7543859649122808,0.11399999999999999
Christoph Moritz,734,658,16,72.0,20,111.0,31.0,2,189.0,22.0,7,23.0,0,32218,1.14,-0.86,1.7543859649122808,0.07125
Christophe Jallet,4997,4590,88,744.0,127,581.0,171.0,5,955.0,126.0,94,121.0,3,177201,6.81,1.81,0.7342143906020558,0.07738636363636363
Christophe Kerbrat,933,905,19,159.0,27,116.0,38.0,1,147.0,37.0,25,33.0,0,38276,3.33,2.33,0.3003003003003003,0.17526315789473684
Christophe Mandanne,5505,5107,111,1164.0,148,673.0,199.0,14,849.0,185.0,160,120.0,3,223557,14.42,0.42,0.970873786407767,0.12990990990990992
Christopher Glombard,405,431,11,72.0,14,56.0,18.0,3,101.0,14.0,7,11.0,1,22140,0.89,-2.11,3.3707865168539324,0.08090909090909092
Christopher Jullien,993,889,16,180.0,22,81.0,29.0,3,57.0,45.0,25,28.0,0,32257,2.14,-0.86,1.4018691588785046,0.13375
Christopher Maboulou,985,873,17,132.0,23,90.0,36.0,3,171.0,31.0,22,17.0,0,34245,1.48,-1.52,2.027027027027027,0.08705882352941176
Christopher Nkunku,188,197,5,48.0,7,37.0,10.0,0,45.0,9.0,7,5.0,0,10080,0.26,0.26,0.0,0.052000000000000005
Christopher Nothe,637,533,10,96.0,11,57.0,23.0,0,89.0,18.0,12,10.0,0,20122,1.1,1.1,0.0,0.11000000000000001
Chuba Akpom,137,176,2,24.0,2,15.0,2.0,0,6.0,4.0,6,2.0,0,4030,0.43,0.43,0.0,0.215
Chuli,1204,1006,18,180.0,24,89.0,41.0,0,147.0,32.0,31,18.0,1,36238,2.02,2.02,0.0,0.11222222222222222
Ciaran Clark,1495,1682,35,372.0,56,223.0,72.0,2,238.0,88.0,58,67.0,0,70501,4.6,2.6,0.4347826086956522,0.13142857142857142
Cicinho,885,816,16,108.0,19,67.0,34.0,1,213.0,18.0,10,18.0,1,32196,1.0,0.0,1.0,0.0625
Ciprian Marica,3622,3091,66,696.0,96,326.0,120.0,9,527.0,110.0,93,76.0,5,132875,8.06,-0.94,1.1166253101736971,0.12212121212121213
Ciprian Tatarusanu,15,14,1,15.0,1,0.0,0.0,1,19.0,1.0,0,1.0,0,2015,0.99,-0.01,1.0101010101010102,0.99
Ciro Capuano,349,286,8,60.0,15,54.0,19.0,0,100.0,17.0,10,10.0,0,16096,0.74,0.74,0.0,0.0925
Ciro Immobile,17910,16532,334,3228.0,481,1823.0,624.0,48,3022.0,452.0,443,376.0,16,672819,43.52,-4.48,1.102941176470588,0.1302994011976048
Claiton,210,196,3,36.0,3,12.0,8.0,0,26.0,9.0,6,5.0,0,6048,0.54,0.54,0.0,0.18000000000000002
Clarck Nsikulu,3522,3548,58,552.0,86,363.0,103.0,8,514.0,82.0,74,63.0,3,116827,6.86,-1.14,1.1661807580174925,0.11827586206896552
Clarence Seedorf,852,777,21,204.0,25,145.0,41.0,2,241.0,25.0,24,39.0,0,42241,1.24,-0.76,1.6129032258064517,0.05904761904761905
Claud Adjapong,476,363,7,60.0,10,31.0,16.0,1,56.0,8.0,8,9.0,0,14112,1.03,0.03,0.970873786407767,0.14714285714285716
Claude Dielna,548,463,11,36.0,15,81.0,25.0,0,173.0,22.0,4,21.0,0,22148,0.21,0.21,0.0,0.01909090909090909
Claude Goncalves,256,215,5,12.0,7,15.0,9.0,0,63.0,6.0,1,5.0,0,10068,0.28,0.28,0.0,0.05600000000000001
Claudio Beauvue,11801,11268,233,2040.0,349,1435.0,418.0,29,2107.0,418.0,289,332.0,3,469347,26.6,-2.4,1.0902255639097744,0.11416309012875538
Claudio Marchisio,12788,11336,251,2232.0,376,1381.0,497.0,21,3085.0,345.0,262,290.0,1,505284,20.54,-0.46,1.0223953261927945,0.08183266932270916
Claudio Pizarro,12691,10785,200,1932.0,294,1113.0,341.0,47,1596.0,339.0,237,257.0,5,402670,36.7,-10.3,1.2806539509536783,0.18350000000000002
Claudio Terzi,726,673,18,120.0,25,101.0,36.0,2,153.0,34.0,17,30.0,0,36220,3.25,1.25,0.6153846153846154,0.18055555555555555
Claudio Yacob,1517,1601,33,216.0,49,200.0,71.0,1,425.0,46.0,23,54.0,0,66498,1.93,0.93,0.5181347150259068,0.05848484848484848
Claudiu Keseru,1088,1026,24,228.0,35,163.0,42.0,1,281.0,50.0,27,29.0,0,48312,1.32,0.32,0.7575757575757576,0.055
Claveria,117,90,1,12.0,2,2.0,3.0,0,15.0,1.0,1,1.0,0,2014,0.03,0.03,0.0,0.03
Cleber,1825,1515,26,240.0,39,160.0,43.0,2,173.0,64.0,33,44.0,0,52391,3.6,1.6,0.5555555555555556,0.13846153846153847
Clemens Fritz,5108,4165,84,768.0,117,452.0,183.0,2,1110.0,114.0,83,93.0,3,169167,4.31,2.31,0.4640371229698376,0.051309523809523805
Clement Chantome,3408,3428,64,612.0,95,391.0,126.0,4,772.0,84.0,65,83.0,0,128888,4.89,0.89,0.8179959100204499,0.07640625
Clement Grenier,8509,7953,158,684.0,221,989.0,286.0,14,2187.0,186.0,77,286.0,1,318113,13.7,-0.3,1.0218978102189782,0.08670886075949366
Clement Lenglet,177,161,6,72.0,6,51.0,13.0,0,18.0,17.0,10,13.0,0,12096,0.93,0.93,0.0,0.155
Clement Michelin,174,184,3,12.0,4,17.0,6.0,0,45.0,4.0,1,3.0,0,6048,0.08,0.08,0.0,0.02666666666666667
Clint Dempsey,326,350,8,72.0,13,46.0,17.0,0,76.0,14.0,11,10.0,0,16112,0.66,0.66,0.0,0.0825
Clint Hill,431,430,7,72.0,11,36.0,14.0,1,45.0,14.0,9,14.0,0,14103,0.71,-0.29,1.4084507042253522,0.10142857142857142
Clinton Njie,4485,4205,76,744.0,110,394.0,125.0,10,699.0,91.0,95,80.0,4,153131,9.75,-0.25,1.0256410256410255,0.12828947368421054
Coke,4759,4439,94,840.0,149,559.0,183.0,9,888.0,153.0,110,140.0,0,189332,9.11,0.11,0.9879253567508234,0.09691489361702127
Connor Randall,56,51,2,12.0,4,6.0,4.0,0,14.0,2.0,1,2.0,0,4032,0.23,0.23,0.0,0.115
Connor Wickham,6847,6978,145,1392.0,209,781.0,286.0,17,1438.0,244.0,174,184.0,1,292129,14.91,-2.09,1.1401743796109993,0.10282758620689655
Constant Djakpa,1567,1362,29,216.0,47,154.0,59.0,0,401.0,54.0,20,42.0,0,58402,0.81,0.81,0.0,0.02793103448275862
Constantin Nica,279,261,4,27.0,6,20.0,7.0,1,64.0,7.0,1,8.0,0,8058,1.1,0.1,0.9090909090909091,0.275
Corentin Jean,4193,4121,83,792.0,110,460.0,159.0,7,804.0,125.0,90,88.0,2,167229,7.14,0.14,0.9803921568627452,0.08602409638554216
Corentin Tolisso,8423,7666,159,1488.0,242,863.0,330.0,17,1691.0,245.0,169,219.0,0,320438,14.45,-2.55,1.1764705882352942,0.09088050314465408
Coro,2828,2678,59,516.0,85,311.0,113.0,5,560.0,88.0,65,65.0,1,118814,5.87,0.87,0.8517887563884157,0.09949152542372881
Corona,1909,1762,36,144.0,59,194.0,80.0,1,462.0,44.0,16,55.0,1,72518,1.74,0.74,0.5747126436781609,0.04833333333333333
Costel Pantilimon,70,84,1,15.0,1,0.0,0.0,1,19.0,1.0,0,1.0,0,2013,0.99,-0.01,1.0101010101010102,0.99
Craig Bellamy,683,721,14,96.0,21,76.0,31.0,2,192.0,18.0,11,20.0,0,28194,0.67,-1.33,2.9850746268656714,0.04785714285714286
Craig Cathcart,183,228,6,51.0,9,19.0,10.0,2,58.0,9.0,5,9.0,0,12095,1.59,-0.41,1.2578616352201257,0.265
Craig Dawson,3558,3958,76,831.0,103,503.0,155.0,7,662.0,165.0,119,138.0,0,153152,12.73,5.73,0.5498821681068342,0.1675
Craig Gardner,4838,5433,113,852.0,168,704.0,227.0,7,1386.0,155.0,88,142.0,0,227681,8.34,1.34,0.8393285371702638,0.07380530973451327
Craig Noone,1178,1324,27,240.0,35,156.0,55.0,1,363.0,54.0,22,30.0,0,54371,1.02,0.02,0.9803921568627451,0.03777777777777778
Cris,423,358,7,72.0,8,56.0,13.0,2,21.0,19.0,12,15.0,0,14081,0.96,-1.04,2.0833333333333335,0.13714285714285715
Cristhian Stuani,568,549,12,132.0,22,77.0,20.0,4,100.0,21.0,17,16.0,0,24194,1.47,-2.53,2.7210884353741496,0.1225
Cristian Alfonso,641,508,7,72.0,10,41.0,17.0,0,93.0,7.0,9,8.0,1,14084,0.94,0.94,0.0,0.13428571428571429
Cristian Ansaldi,821,708,17,108.0,25,104.0,36.0,0,208.0,30.0,13,21.0,0,34264,1.11,1.11,0.0,0.06529411764705884
Cristian Chivu,152,141,5,36.0,5,23.0,11.0,1,73.0,10.0,4,10.0,0,10061,1.1,0.1,0.9090909090909091,0.22000000000000003
Cristian Espinoza,196,171,2,24.0,3,13.0,3.0,0,18.0,5.0,2,2.0,0,4032,0.13,0.13,0.0,0.065
Cristian Gamboa,138,157,2,0.0,3,8.0,5.0,0,30.0,2.0,0,2.0,0,4029,0.05,0.05,0.0,0.025
Cristian Gomez,427,403,8,72.0,10,34.0,16.0,1,96.0,14.0,8,8.0,0,16098,0.47,-0.53,2.127659574468085,0.05875
Cristian Herrera,1716,1637,30,300.0,40,155.0,56.0,4,170.0,66.0,44,32.0,0,60425,3.33,-0.67,1.2012012012012012,0.111
Cristian Ledesma,3241,3008,71,480.0,110,429.0,143.0,4,1016.0,98.0,45,86.0,0,142877,5.88,1.88,0.6802721088435374,0.0828169014084507
Cristian Llama,614,509,7,36.0,10,43.0,14.0,0,87.0,14.0,5,11.0,0,14084,0.49,0.49,0.0,0.06999999999999999
Cristian Lobato,516,457,6,36.0,9,29.0,14.0,0,32.0,10.0,4,7.0,0,12084,0.78,0.78,0.0,0.13
Cristian Molinaro,1985,1924,45,399.0,68,279.0,86.0,4,494.0,76.0,44,63.0,0,90624,3.51,-0.49,1.1396011396011396,0.078
Cristian Pasquato,1685,1419,28,252.0,45,153.0,54.0,2,317.0,36.0,26,35.0,0,56329,1.71,-0.29,1.1695906432748537,0.06107142857142857
Cristian Raimondi,2795,2493,46,360.0,67,245.0,98.0,1,494.0,76.0,51,59.0,1,92615,3.79,2.79,0.2638522427440633,0.08239130434782609
Cristian Rivera,92,80,1,0.0,2,2.0,3.0,0,15.0,1.0,0,1.0,0,2016,0.03,0.03,0.0,0.03
Cristian Rodriguez,3919,3431,60,564.0,92,384.0,115.0,2,640.0,116.0,60,68.0,3,120793,4.05,2.05,0.4938271604938272,0.06749999999999999
Cristian Sapunaru,1000,869,17,168.0,27,95.0,32.0,3,133.0,37.0,24,22.0,0,34217,2.03,-0.97,1.4778325123152711,0.11941176470588234
Cristian Tello,6796,6025,110,1032.0,164,542.0,222.0,13,1175.0,152.0,128,117.0,1,221540,7.62,-5.38,1.7060367454068242,0.06927272727272728
Cristian Zaccardo,3099,2879,52,420.0,68,268.0,106.0,4,514.0,83.0,48,62.0,1,104678,5.62,1.62,0.7117437722419929,0.10807692307692308
Cristian Zapata,1189,1056,22,255.0,34,166.0,36.0,3,129.0,60.0,40,48.0,0,44296,3.26,0.26,0.9202453987730062,0.14818181818181816
Cristiano Biraghi,2753,2295,49,351.0,70,289.0,102.0,2,674.0,94.0,37,77.0,0,98738,4.09,2.09,0.48899755501222497,0.08346938775510204
Cristiano Del Grosso,1487,1334,35,243.0,52,211.0,66.0,4,482.0,69.0,28,48.0,0,70439,2.19,-1.81,1.8264840182648403,0.06257142857142857
Cristiano Lombardi,514,527,8,60.0,13,45.0,19.0,1,60.0,11.0,5,8.0,0,16130,0.81,-0.19,1.2345679012345678,0.10125
Cristiano Piccini,2329,2038,37,288.0,53,193.0,75.0,1,469.0,56.0,27,50.0,0,74553,1.9,0.9,0.5263157894736842,0.05135135135135135
Cristiano Ronaldo,63332,56536,1190,10359.0,1729,6369.0,2170.0,198,12493.0,1745.0,1292,1593.0,45,2396255,167.38,-30.62,1.1829370295136814,0.14065546218487396
Cristobal Jorquera,3657,3215,57,504.0,87,364.0,111.0,3,753.0,78.0,53,65.0,4,114733,4.11,1.11,0.7299270072992701,0.07210526315789474
Cuco Martina,271,302,5,24.0,7,37.0,9.0,1,55.0,7.0,4,5.0,0,10079,0.32,-0.68,3.125,0.064
Curro,116,119,3,12.0,4,23.0,6.0,0,21.0,5.0,1,3.0,0,6048,0.36,0.36,0.0,0.12
Curtis Davies,2425,2535,45,486.0,65,288.0,92.0,3,261.0,117.0,71,84.0,0,90646,8.28,5.28,0.3623188405797102,0.184
Cyril Jeunechamp,189,157,3,24.0,5,16.0,6.0,0,29.0,6.0,3,3.0,0,6036,0.2,0.2,0.0,0.06666666666666667
Cyril Thaa©Raa©Au,99,90,1,0.0,2,7.0,4.0,0,14.0,1.0,0,2.0,0,2014,0.77,0.77,0.0,0.77
Cyril Thereau,19325,17751,365,3435.0,556,1998.0,676.0,54,3287.0,533.0,447,441.0,13,735043,47.04,-6.96,1.1479591836734695,0.12887671232876713
Daisuke Matsui,65,47,2,12.0,2,10.0,2.0,0,6.0,4.0,2,2.0,0,4022,0.25,0.25,0.0,0.125
Dalbert,477,476,9,108.0,12,58.0,18.0,0,112.0,17.0,12,9.0,0,18145,0.39,0.39,0.0,0.043333333333333335
Daley Blind,1915,2152,39,348.0,53,167.0,84.0,4,465.0,74.0,35,45.0,0,78585,2.35,-1.65,1.702127659574468,0.06025641025641026
Dame Ndoye,2431,2537,50,480.0,75,291.0,89.0,6,496.0,77.0,59,63.0,2,100759,6.08,0.08,0.9868421052631579,0.1216
Damia,1838,1623,35,240.0,47,203.0,72.0,0,418.0,57.0,30,49.0,0,70452,1.97,1.97,0.0,0.056285714285714286
Damian Suarez,2054,2065,46,219.0,65,267.0,88.0,3,608.0,53.0,20,67.0,0,92654,3.96,0.96,0.7575757575757576,0.08608695652173913
Damiano Ferronetti,380,343,6,63.0,9,28.0,8.0,2,46.0,14.0,7,8.0,0,12069,1.38,-0.62,1.4492753623188408,0.22999999999999998
Damiano Zanon,220,191,5,51.0,8,23.0,8.0,1,75.0,5.0,3,5.0,0,10064,1.13,0.13,0.8849557522123894,0.22599999999999998
Damien Da Silva,2044,2194,40,387.0,55,238.0,84.0,4,252.0,85.0,59,70.0,0,80611,6.17,2.17,0.6482982171799028,0.15425
Damien Delaney,2454,2564,49,486.0,73,311.0,91.0,5,349.0,107.0,75,84.0,0,98728,8.34,3.34,0.5995203836930456,0.17020408163265305
Damien Duff,337,341,6,60.0,8,37.0,13.0,0,50.0,8.0,6,8.0,0,12081,0.61,0.61,0.0,0.10166666666666667
Damien Marcq,27,22,1,12.0,1,12.0,2.0,0,10.0,3.0,2,3.0,0,2011,0.15,0.15,0.0,0.15
Damien Perquis,607,547,14,156.0,20,104.0,26.0,0,99.0,34.0,24,30.0,0,28172,1.09,1.09,0.0,0.07785714285714286
Damien Tiberi,1446,1235,22,180.0,32,151.0,37.0,0,203.0,44.0,23,29.0,0,44260,1.53,1.53,0.0,0.06954545454545455
Damir Vrancic,482,414,11,51.0,15,61.0,23.0,1,157.0,12.0,3,12.0,0,22150,1.44,0.44,0.6944444444444444,0.1309090909090909
Damjan Djokovic,2690,2507,50,456.0,65,262.0,102.0,2,645.0,96.0,46,66.0,0,100747,2.39,0.39,0.8368200836820083,0.0478
Dan Burn,164,186,4,36.0,7,26.0,10.0,0,12.0,12.0,6,8.0,0,8056,0.4,0.4,0.0,0.1
Dan Gosling,2616,2983,58,576.0,87,350.0,118.0,5,562.0,101.0,65,67.0,0,116891,5.63,0.63,0.8880994671403197,0.09706896551724138
Dan Nistor,374,363,5,48.0,8,37.0,9.0,0,63.0,8.0,4,5.0,0,10065,0.27,0.27,0.0,0.054000000000000006
Dani Alves,6592,6316,140,1104.0,198,823.0,287.0,5,1828.0,161.0,111,192.0,1,281888,7.67,2.67,0.651890482398957,0.054785714285714285
Dani Benitez,3932,3638,76,384.0,113,415.0,156.0,1,977.0,144.0,42,91.0,2,152905,2.98,1.98,0.33557046979865773,0.03921052631578947
Dani Castellano,569,550,14,156.0,20,86.0,28.0,0,150.0,28.0,18,14.0,0,28221,0.63,0.63,0.0,0.045
Dani Ceballos,1600,1412,24,204.0,31,147.0,52.0,0,304.0,25.0,17,31.0,0,48378,1.14,1.14,0.0,0.047499999999999994
Dani Garcia,2120,2108,47,216.0,67,290.0,98.0,1,687.0,58.0,21,70.0,0,94722,2.31,1.31,0.4329004329004329,0.049148936170212765
Dani Ndi,747,723,15,156.0,23,84.0,29.0,1,151.0,31.0,18,18.0,0,30235,2.72,1.72,0.3676470588235294,0.18133333333333335
Dani Nieto,350,336,5,48.0,6,32.0,9.0,0,69.0,10.0,4,6.0,0,10071,0.18,0.18,0.0,0.036
Dani Osvaldo,27,27,2,24.0,4,11.0,3.0,1,25.0,6.0,4,4.0,0,4026,0.47,-0.53,2.127659574468085,0.235
Dani Pacheco,545,476,7,72.0,9,34.0,13.0,0,69.0,7.0,9,7.0,0,14078,0.72,0.72,0.0,0.10285714285714286
Dani Romera,99,90,1,12.0,1,5.0,1.0,0,3.0,1.0,4,1.0,0,2015,0.36,0.36,0.0,0.36
Dani Schahin,2837,2602,52,528.0,82,305.0,94.0,8,369.0,97.0,78,67.0,1,104660,6.5,-1.5,1.2307692307692308,0.125
Daniel Agger,189,202,5,48.0,5,31.0,7.0,2,32.0,13.0,8,11.0,0,10069,1.21,-0.79,1.6528925619834711,0.242
Daniel Amartey,630,650,12,72.0,17,67.0,23.0,1,124.0,17.0,9,18.0,0,24192,1.0,-0.0,1.0,0.08333333333333333
Daniel Ayala,177,220,4,36.0,6,17.0,6.0,1,22.0,9.0,6,10.0,0,8064,0.95,-0.05,1.0526315789473684,0.2375
Daniel Baier,10003,8625,177,1104.0,252,1089.0,352.0,5,2525.0,213.0,115,232.0,2,356360,7.93,2.93,0.6305170239596469,0.04480225988700565
