player,sort_order,time,n_shots,event_type2,side,shot_place,shot_outcome,trueGoals,location,bodypart,assist_method,situation,fast_break,year,expectedGoals,difference,ratio,xG_per_shot_ratio
Alen Halilovic,2746,2764,58,588.0,86,308.0,123.0,3,678.0,107.0,64,62.0,0,116896,3.87,0.87,0.7751937984496123,0.06672413793103449
Alen Stevanovic,485,478,9,84.0,12,29.0,21.0,2,107.0,10.0,8,9.0,0,18111,0.51,-1.49,3.9215686274509802,0.05666666666666667
Alessandro Agostini,1098,970,20,147.0,26,103.0,39.0,1,233.0,37.0,12,25.0,0,40244,1.81,0.81,0.5524861878453039,0.0905
Alessandro Bastoni,58,47,1,0.0,1,5.0,1.0,0,3.0,1.0,0,1.0,0,2017,0.17,0.17,0.0,0.17
Alessandro Bastrini,66,57,1,0.0,2,6.0,2.0,0,15.0,2.0,0,1.0,0,2014,0.02,0.02,0.0,0.02
Alessandro Bernardini,198,160,4,51.0,5,27.0,6.0,1,28.0,10.0,6,9.0,0,8054,1.36,0.36,0.7352941176470588,0.34
Alessandro Carrozza,377,307,4,48.0,7,25.0,9.0,0,46.0,8.0,6,6.0,1,8048,0.28,0.28,0.0,0.07
Alessandro Crescenzi,517,390,8,72.0,9,60.0,14.0,0,102.0,11.0,7,8.0,0,16121,0.29,0.29,0.0,0.03625
Alessandro Del Piero,2289,1876,28,288.0,35,164.0,50.0,3,286.0,43.0,36,31.0,2,56325,3.7,0.7,0.8108108108108107,0.13214285714285715
Alessandro Diamanti,22361,18442,386,2760.0,533,2108.0,786.0,21,5107.0,751.0,278,504.0,6,777089,24.94,3.94,0.8420208500400962,0.06461139896373057
Alessandro Florenzi,10460,9747,211,1944.0,315,1133.0,429.0,21,2228.0,267.0,222,249.0,6,424973,19.87,-1.13,1.0568696527428283,0.09417061611374408
Alessandro Frara,809,650,12,84.0,21,56.0,26.0,2,78.0,20.0,11,13.0,0,24190,1.26,-0.74,1.5873015873015872,0.105
Alessandro Gamberini,1480,1310,27,231.0,39,172.0,46.0,3,186.0,61.0,38,49.0,0,54367,5.69,2.69,0.5272407732864675,0.21074074074074076
Alessandro Gazzi,2229,2058,41,348.0,58,254.0,73.0,3,485.0,91.0,44,59.0,0,82535,4.73,1.73,0.6342494714587738,0.11536585365853659
Alessandro Longhi,515,458,12,99.0,19,70.0,20.0,2,129.0,24.0,10,15.0,0,24170,1.78,-0.22,1.1235955056179776,0.14833333333333334
Alessandro Lucarelli,2637,2407,49,504.0,69,272.0,90.0,8,365.0,119.0,80,97.0,0,98627,5.65,-2.35,1.415929203539823,0.1153061224489796
Alessandro Mastalli,85,76,1,12.0,1,2.0,3.0,0,11.0,2.0,1,1.0,0,2015,0.05,0.05,0.0,0.05
Alessandro Matri,12098,10425,208,2064.0,298,1161.0,380.0,39,1526.0,357.0,329,236.0,10,418741,34.13,-4.87,1.1426897157925577,0.16408653846153848
Alessandro Murgia,282,257,3,36.0,5,17.0,6.0,1,43.0,6.0,4,5.0,0,6048,0.48,-0.52,2.0833333333333335,0.16
Alessandro Nesta,160,154,3,36.0,4,14.0,6.0,1,9.0,7.0,6,7.0,0,6035,0.35,-0.65,2.857142857142857,0.11666666666666665
Alessandro Piu,203,191,3,36.0,5,9.0,4.0,0,42.0,6.0,4,3.0,0,6045,0.15,0.15,0.0,0.049999999999999996
Alessandro Potenza,37,35,2,12.0,3,6.0,4.0,0,18.0,4.0,2,2.0,0,4023,0.1,0.1,0.0,0.05
Alessandro Rosina,2409,2229,56,528.0,83,359.0,109.0,5,608.0,109.0,54,71.0,1,112714,6.7,1.7,0.7462686567164178,0.11964285714285715
Alessandro Rossi,112,93,1,12.0,1,8.0,2.0,0,3.0,3.0,1,2.0,0,2017,0.2,0.2,0.0,0.2
Alessandro Schopf,1715,1443,31,288.0,42,137.0,58.0,6,309.0,38.0,33,35.0,2,62497,3.44,-2.56,1.744186046511628,0.11096774193548387
Alessandro Sgrigna,1066,962,21,216.0,35,101.0,45.0,1,217.0,28.0,31,24.0,1,42252,2.09,1.09,0.47846889952153115,0.09952380952380951
Alessio Cerci,16532,15158,303,2520.0,438,1470.0,591.0,31,3542.0,592.0,279,384.0,10,610069,30.38,-0.62,1.0204081632653061,0.10026402640264026
Alessio Romagnoli,1074,899,21,228.0,28,134.0,41.0,3,164.0,54.0,34,37.0,0,42319,2.75,-0.25,1.0909090909090908,0.13095238095238096
Alessio Sestu,2087,1976,43,372.0,67,280.0,74.0,1,516.0,58.0,40,49.0,1,86552,3.41,2.41,0.29325513196480935,0.07930232558139536
Alex,6249,5569,102,1005.0,133,599.0,191.0,13,864.0,213.0,137,200.0,0,205399,14.57,1.57,0.8922443376801648,0.14284313725490197
Alex Alegria,1213,1028,21,180.0,33,118.0,39.0,2,155.0,42.0,22,23.0,0,42341,1.87,-0.13,1.06951871657754,0.08904761904761906
Alex Barrera,152,166,2,24.0,2,6.0,4.0,0,6.0,6.0,4,2.0,0,4032,0.15,0.15,0.0,0.075
Alex Berenguer,622,536,10,108.0,15,70.0,20.0,0,120.0,14.0,11,14.0,0,20163,0.56,0.56,0.0,0.05600000000000001
Alex Bergantinos,2808,2599,51,384.0,79,280.0,109.0,3,591.0,65.0,46,68.0,1,102710,4.77,1.77,0.628930817610063,0.09352941176470587
Alex Bruce,384,431,9,96.0,11,67.0,17.0,0,56.0,23.0,17,18.0,0,18124,1.71,1.71,0.0,0.19
Alex Felip,301,258,3,12.0,4,13.0,8.0,0,33.0,4.0,1,3.0,0,6045,0.22,0.22,0.0,0.07333333333333333
Alex Ferrari,244,240,6,60.0,9,26.0,14.0,0,60.0,11.0,9,6.0,0,12092,0.62,0.62,0.0,0.10333333333333333
Alex Iwobi,1627,1763,44,396.0,68,223.0,95.0,4,375.0,59.0,38,47.0,1,88714,4.93,0.93,0.8113590263691685,0.11204545454545455
Alex Lopez,5523,5359,124,1116.0,178,715.0,252.0,8,1500.0,153.0,123,142.0,1,249639,8.67,0.67,0.922722029988466,0.06991935483870967
Alex Martinez,402,362,5,36.0,7,23.0,11.0,0,49.0,10.0,7,8.0,0,10065,0.36,0.36,0.0,0.072
Alex Menendez,1152,1119,20,156.0,32,130.0,39.0,2,216.0,37.0,15,26.0,2,40297,1.45,-0.55,1.3793103448275863,0.0725
Alex Moreno,277,254,6,60.0,10,34.0,8.0,0,72.0,11.0,5,6.0,1,12088,0.33,0.33,0.0,0.055
Alex Oxladechamberlain,4997,5137,96,900.0,142,480.0,206.0,6,1026.0,119.0,105,101.0,3,193426,8.5,2.5,0.7058823529411765,0.08854166666666667
Alex Pinardi,388,280,6,24.0,10,35.0,14.0,0,85.0,8.0,3,9.0,0,12066,0.21,0.21,0.0,0.034999999999999996
Alex Pozuelo,3280,3061,52,528.0,75,232.0,118.0,3,557.0,80.0,54,57.0,3,104654,4.64,1.64,0.646551724137931,0.08923076923076922
Alex Pritchard,135,144,2,12.0,4,7.0,4.0,0,30.0,2.0,1,5.0,0,4032,0.03,0.03,0.0,0.015
Alex Sandro,1419,1329,34,327.0,47,179.0,72.0,4,353.0,66.0,36,40.0,0,68542,3.17,-0.83,1.2618296529968454,0.09323529411764706
Alex Telles,761,700,13,72.0,23,69.0,28.0,0,188.0,26.0,6,18.0,0,26201,0.38,0.38,0.0,0.02923076923076923
Alexander Baumjohann,1097,1011,17,96.0,25,84.0,34.0,1,185.0,20.0,11,21.0,0,34237,1.93,0.93,0.5181347150259068,0.11352941176470588
Alexander Bugera,871,798,17,135.0,22,99.0,32.0,2,242.0,34.0,12,26.0,0,34193,2.38,0.38,0.8403361344537815,0.13999999999999999
Alexander Buttner,321,336,4,36.0,5,19.0,10.0,0,42.0,8.0,3,4.0,0,8054,0.27,0.27,0.0,0.0675
Alexander Djiku,856,821,15,147.0,21,96.0,27.0,2,134.0,30.0,16,25.0,0,30237,4.03,2.03,0.4962779156327543,0.26866666666666666
Alexander Esswein,11628,9725,188,1620.0,289,1006.0,360.0,12,2128.0,240.0,177,234.0,5,378575,12.67,0.67,0.9471191791633781,0.0673936170212766
Alexander Farnerud,2677,2459,50,420.0,73,299.0,102.0,5,664.0,95.0,43,65.0,1,100709,2.85,-2.15,1.7543859649122806,0.057
Alexander Hack,333,287,6,72.0,8,40.0,12.0,0,18.0,18.0,10,12.0,0,12096,0.74,0.74,0.0,0.12333333333333334
Alexander Kacaniklic,979,1019,26,204.0,34,157.0,56.0,1,270.0,42.0,20,28.0,0,52370,1.85,0.85,0.5405405405405405,0.07115384615384615
Alexander Madlung,3575,2865,52,483.0,69,322.0,91.0,10,403.0,105.0,65,90.0,0,104698,8.74,-1.26,1.1441647597254003,0.16807692307692307
Alexander Meier,16952,14202,291,2664.0,410,1703.0,533.0,57,2307.0,495.0,347,376.0,9,586072,41.88,-15.12,1.3610315186246418,0.1439175257731959
Alexander Merkel,1008,846,21,168.0,30,128.0,39.0,1,235.0,28.0,17,29.0,0,42249,1.67,0.67,0.5988023952095809,0.07952380952380952
Alexander Milosevic,887,779,16,144.0,24,96.0,31.0,0,78.0,34.0,23,26.0,0,32257,2.22,2.22,0.0,0.13875
Alexander Ring,413,411,6,60.0,10,41.0,12.0,0,70.0,8.0,7,6.0,1,12072,0.47,0.47,0.0,0.07833333333333332
Alexander Soderlund,1744,1556,30,324.0,44,175.0,61.0,3,166.0,58.0,46,39.0,0,60480,4.49,1.49,0.6681514476614699,0.14966666666666667
Alexander Szymanowski,1166,987,19,192.0,27,129.0,31.0,3,227.0,34.0,25,21.0,0,38304,2.0,-1.0,1.5,0.10526315789473684
Alexander Tettey,1948,2104,46,396.0,61,285.0,95.0,4,562.0,61.0,40,55.0,1,92638,3.12,-0.88,1.282051282051282,0.06782608695652174
Alexandre Alphonse,828,800,19,168.0,25,114.0,32.0,1,173.0,31.0,22,19.0,0,38228,1.54,0.54,0.6493506493506493,0.08105263157894738
Alexandre Coeff,468,499,9,60.0,16,57.0,19.0,0,111.0,14.0,6,11.0,0,18139,0.52,0.52,0.0,0.05777777777777778
Alexandre Cuvillier,52,40,1,12.0,2,6.0,2.0,0,15.0,2.0,1,1.0,0,2011,0.03,0.03,0.0,0.03
Alexandre Geijo,1388,1369,24,264.0,38,167.0,49.0,3,151.0,44.0,45,26.0,2,48300,3.24,0.24,0.9259259259259258,0.135
Alexandre Lacazette,20149,18634,391,3432.0,559,2238.0,660.0,88,3553.0,553.0,462,473.0,9,787582,62.12,-25.88,1.4166130070830651,0.15887468030690535
Alexandre Mendy,1905,1778,25,264.0,35,150.0,47.0,2,207.0,36.0,38,27.0,0,50394,2.83,0.83,0.7067137809187279,0.11320000000000001
Alexandre Pato,2473,2223,45,372.0,69,256.0,88.0,4,446.0,67.0,46,61.0,0,90659,7.91,3.91,0.5056890012642224,0.17577777777777778
Alexandre Raineau,530,468,7,60.0,10,27.0,17.0,0,87.0,13.0,8,7.0,1,14078,0.35,0.35,0.0,0.049999999999999996
Alexandre Song,1165,1160,26,231.0,37,138.0,55.0,2,271.0,35.0,22,32.0,0,52373,2.83,0.83,0.7067137809187279,0.10884615384615384
Alexandros Tziolis,320,289,5,48.0,6,38.0,8.0,0,63.0,7.0,7,5.0,0,10056,0.17,0.17,0.0,0.034
Alexandru Maxim,5594,5078,97,732.0,136,529.0,185.0,11,1168.0,115.0,70,125.0,3,195387,7.65,-3.35,1.4379084967320261,0.0788659793814433
Alexandru Mitrita,374,334,4,36.0,6,24.0,8.0,0,54.0,5.0,3,4.0,0,8064,0.13,0.13,0.0,0.0325
Alexis,2312,2030,42,396.0,57,268.0,77.0,8,272.0,98.0,61,87.0,0,84563,5.8,-2.2,1.3793103448275863,0.1380952380952381
Alexis Alegue Elandi,150,156,3,36.0,6,15.0,4.0,1,21.0,6.0,3,3.0,0,6045,0.36,-0.64,2.7777777777777777,0.12
Alexis Blin,1192,1135,24,180.0,35,168.0,50.0,0,252.0,37.0,23,33.0,0,48381,1.63,1.63,0.0,0.06791666666666667
Alexis Peuget,581,549,13,48.0,14,74.0,26.0,1,191.0,17.0,7,19.0,0,26195,0.44,-0.56,2.272727272727273,0.033846153846153845
Alexis Rolin,285,227,6,60.0,10,28.0,14.0,0,30.0,14.0,9,12.0,0,12079,0.67,0.67,0.0,0.11166666666666668
Alexis Sanchez,19577,20378,445,4104.0,634,2280.0,834.0,80,4173.0,595.0,505,516.0,10,896477,57.12,-22.88,1.400560224089636,0.12835955056179774
Alexy Bosetti,3035,2902,53,492.0,68,352.0,92.0,10,478.0,70.0,68,62.0,3,106736,7.28,-2.72,1.3736263736263736,0.13735849056603774
Alfie Mawson,424,443,8,99.0,13,59.0,14.0,2,40.0,20.0,13,16.0,0,16130,1.93,-0.07,1.0362694300518136,0.24125
Alfonso,83,87,2,24.0,4,7.0,4.0,0,24.0,3.0,2,2.0,0,4031,0.08,0.08,0.0,0.04
Alfred Duncan,6559,5604,104,948.0,167,573.0,229.0,2,1297.0,207.0,94,121.0,1,209548,5.94,3.94,0.33670033670033667,0.057115384615384616
Alfred Finnbogason,2484,2473,52,492.0,73,295.0,96.0,9,435.0,90.0,73,54.0,3,104811,7.89,-1.11,1.1406844106463878,0.15173076923076922
Alfred Ndiaye,2440,2342,41,432.0,58,249.0,82.0,2,331.0,81.0,63,61.0,0,82617,4.27,2.27,0.468384074941452,0.10414634146341463
Alfredo Morales,2245,1911,41,408.0,70,258.0,77.0,2,372.0,69.0,45,52.0,0,82636,3.34,1.34,0.5988023952095809,0.08146341463414634
Alfredo Ortuno,255,244,4,48.0,5,20.0,7.0,0,24.0,10.0,6,4.0,0,8057,0.34,0.34,0.0,0.085
Alharbi El Jadeyaoui,1029,1037,21,168.0,33,123.0,36.0,3,248.0,38.0,22,31.0,0,42303,2.61,-0.39,1.149425287356322,0.12428571428571428
Alhassan Wakaso,63,63,1,12.0,2,8.0,2.0,0,3.0,3.0,2,3.0,0,2017,0.11,0.11,0.0,0.11
Alhassane Bangoura,187,160,3,24.0,4,13.0,8.0,0,35.0,4.0,2,3.0,0,6035,0.13,0.13,0.0,0.043333333333333335
Ali Adnan,1526,1394,24,168.0,35,121.0,54.0,1,302.0,43.0,17,38.0,0,48373,1.75,0.75,0.5714285714285714,0.07291666666666667
Ali Ahamada,143,138,2,27.0,3,3.0,1.0,2,22.0,4.0,2,3.0,0,4027,1.14,-0.86,1.7543859649122808,0.57
Ali Mmadi,660,652,15,156.0,19,94.0,28.0,1,157.0,22.0,17,15.0,2,30178,1.32,0.32,0.7575757575757576,0.08800000000000001
Ali Sowe,229,166,2,24.0,4,11.0,5.0,0,30.0,2.0,2,2.0,0,4026,0.05,0.05,0.0,0.025
Aliaksandr Hleb,298,237,3,36.0,5,19.0,5.0,1,21.0,4.0,3,3.0,0,6033,0.38,-0.62,2.6315789473684212,0.12666666666666668
Alioune Fall,46,50,1,12.0,2,1.0,2.0,0,15.0,1.0,1,1.0,0,2015,0.03,0.03,0.0,0.03
Aljaz Struna,398,318,6,60.0,10,45.0,10.0,1,58.0,13.0,9,10.0,0,12093,1.15,0.15,0.8695652173913044,0.19166666666666665
Allan,4114,3980,88,780.0,128,514.0,169.0,4,1088.0,98.0,69,96.0,2,177274,5.97,1.97,0.6700167504187605,0.06784090909090909
Allan Saintmaximin,3662,3460,64,624.0,90,385.0,127.0,3,795.0,77.0,59,69.0,0,128995,2.96,-0.04,1.0135135135135136,0.04625
Almamy Toure,605,582,12,120.0,21,73.0,21.0,4,58.0,24.0,18,25.0,0,24181,2.08,-1.92,1.923076923076923,0.17333333333333334
Almen Abdi,2842,2857,59,480.0,89,344.0,117.0,2,729.0,73.0,51,79.0,0,118836,4.11,2.11,0.48661800486618,0.06966101694915255
Almog Cohen,3188,2626,54,444.0,79,327.0,108.0,2,665.0,79.0,42,63.0,0,108792,3.69,1.69,0.5420054200542006,0.06833333333333333
Alois Confais,182,168,3,12.0,5,20.0,6.0,0,45.0,3.0,1,4.0,0,6048,0.11,0.11,0.0,0.03666666666666667
Alou Diarra,1890,1595,33,324.0,45,222.0,64.0,4,177.0,82.0,51,61.0,0,66403,3.3,-0.7,1.2121212121212122,0.09999999999999999
Aloys Nong,187,168,2,24.0,3,15.0,4.0,0,6.0,6.0,4,2.0,0,4026,0.15,0.15,0.0,0.075
Alvaro,5233,4741,93,972.0,139,577.0,170.0,12,865.0,137.0,150,108.0,6,187113,10.36,-1.64,1.1583011583011584,0.11139784946236558
Alvaro Ampuero,62,50,1,12.0,1,2.0,3.0,0,15.0,2.0,1,1.0,0,2013,0.03,0.03,0.0,0.03
Alvaro Arbeloa,934,870,14,120.0,17,74.0,26.0,1,171.0,16.0,11,17.0,0,28184,1.98,0.98,0.5050505050505051,0.14142857142857143
Alvaro Arroyo,293,294,7,60.0,9,63.0,12.0,1,76.0,16.0,7,13.0,0,14098,0.8,-0.2,1.25,0.1142857142857143
